OBJECTID,id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
2276,B00155717D,[],航头镇文化中心,科教文化服务;文化宫;文化宫,航头镇航鹤路388号,13535061.59,3636597.891,140800,310000,上海市,21,上海市,310115,浦东新区,
2277,B0FFFVK9IU,[],区行政办公中心5号地块绿地,风景名胜;公园广场;城市广场,世纪大道2001号1号楼东北方向170米,13530386.06,3661750.698,110105,310000,上海市,21,上海市,310115,浦东新区,
2278,B0FFHGN2NZ,[],浦东新区村(居)综合文化服务中心,商务住宅;住宅区;社区中心,平度路468号,13535770.7,3665691.711,120304,310000,上海市,21,上海市,310115,浦东新区,
2279,B00156GRMR,[],浦东新区宣桥镇新安村文化活动室,科教文化服务;文化宫;文化宫,宣桥镇宣新路,13545490.67,3635756.236,140800,310000,上海市,21,上海市,310115,浦东新区,
2280,B0FFFQZR0F,[],浦南村社区活动中心,商务住宅;住宅区;社区中心,浦南村四合47号,13478191.25,3627736.434,120304,310000,上海市,21,上海市,310118,青浦区,
2281,B0FFH10EL3,[],航头镇航武嘉园社区,商务住宅;住宅区;社区中心,航瑞路459弄1-22号、鹤韵路549弄1-28号、鹤韵路550弄1-28号,13535954.37,3642514.992,120304,310000,上海市,21,上海市,310115,浦东新区,
2282,B00155L3N9,[],梅川公园,风景名胜;公园广场;公园,武宁路2361号,13513393.25,3664638.177,110101,310000,上海市,21,上海市,310107,普陀区,
2283,B0FFH18D4V,[],用鑫生活广场,风景名胜;公园广场;城市广场,大渡河路1550弄92-158号,13513574.37,3664900.934,110105,310000,上海市,21,上海市,310107,普陀区,
2284,B0HA61EDJ7,[],达内上海文化广场中心,风景名胜;公园广场;城市广场,福州路355号文化商厦商务大楼10-11层,13523456.42,3663164.214,110105,310000,上海市,21,上海市,310101,黄浦区,
2285,B0FFF6XTM4,[],世纪广场(南京路步行街),风景名胜;公园广场;城市广场,南京东路587号,13523057.01,3663346.22,110105,310000,上海市,21,上海市,310101,黄浦区,
2286,B00157GBHC,[],银杏广场,风景名胜;公园广场;公园,延安东路523号上海音乐厅南门外(近金陵中路),13522916.97,3662410.44,110101,310000,上海市,21,上海市,310101,黄浦区,
2287,B0G3M92BXH,[],咸恒广场,风景名胜;公园广场;城市广场,贵州路67号,13522679.86,3663362.103,110105,310000,上海市,21,上海市,310101,黄浦区,
2288,B00156ENQ8,[],新和村文化活动中心,科教文化服务;文化宫;文化宫,晨阳路888号,13555835.03,3656129.744,140800,310000,上海市,21,上海市,310115,浦东新区,
2289,B0FFF9NBXH,[],长仁禅寺,风景名胜;风景名胜;寺庙道观,川沙镇王桥街2号,13547541.51,3659001.458,110205,310000,上海市,21,上海市,310115,浦东新区,
2290,B0FFHGIORE,[],北城绿地公园,风景名胜;公园广场;公园,新德支路与新德路交叉口东100米,13547734.76,3658511.21,110101,310000,上海市,21,上海市,310115,浦东新区,
2291,B00155LC3D,[],嘉川路小游园,风景名胜;公园广场;公园,凌云路283号,13516256.5,3650225.884,110101,310000,上海市,21,上海市,310104,徐汇区,
2292,B00153099F,[],思贤公园,风景名胜;公园广场;公园,思贤路与人民北路交叉口东北,13494530.72,3636681.683,110101,310000,上海市,21,上海市,310117,松江区,
2293,B00156ZIOJ,[],敦化路绿地,风景名胜;公园广场;公园广场,长白三村1-125号正东方向40米,13529864.42,3670355.77,110100,310000,上海市,21,上海市,310110,杨浦区,
2294,B0FFKHL1Q7,[],阿里社区体育广场,风景名胜;公园广场;城市广场,安图路与松花江路交叉路口往南约100米(延吉四村),13529651.02,3670851.441,110105,310000,上海市,21,上海市,310110,杨浦区,
2295,B00156O7LW,[],基督教沪东堂长白聚会点,风景名胜;风景名胜;教堂,长白路127号,13530285.65,3670320.859,110206,310000,上海市,21,上海市,310110,杨浦区,
2296,B0FFHZSZ1U,[],上海中优城市广场,风景名胜;公园广场;城市广场,沪南公路7688弄1号东北方向120米,13543544.81,3636715.719,110105,310000,上海市,21,上海市,310115,浦东新区,
2297,B0H66ACIYS,[],临港南桥智行广场,风景名胜;公园广场;城市广场,金海公路6055号,13523408.45,3626318.659,110105,310000,上海市,21,上海市,310120,奉贤区,
2298,B0FFG4TSDC,[],长江基督教,风景名胜;风景名胜;教堂,北沿公路东150米,13530781.69,3719262.749,110206,310000,上海市,21,上海市,310151,崇明区,
2299,B0H6P5P1G5,[],长江耶稣堂,风景名胜;风景名胜;教堂,[],13530788.15,3719281.844,110206,310000,上海市,21,上海市,310151,崇明区,
2300,B0GUNCGWDU,[],良渚园,风景名胜;公园广场;公园广场,南桥镇江海村南庄路南侧碎石地公园西侧,13519226.28,3618750.545,110100,310000,上海市,21,上海市,310120,奉贤区,
2301,B00156R1CD,B00155MM7C,蒲汇亲水绿地,风景名胜;公园广场;城市广场,吴中路附近,13511914.71,3655514.445,110105,310000,上海市,21,上海市,310112,闵行区,
2302,B0FFHQFCIO,[],金虹桥河滨绿地,风景名胜;公园广场;公园,合川路2885号b楼117室市场监督管理局虹桥市场监督管理所附近,13512154.05,3654976.197,110101,310000,上海市,21,上海市,310112,闵行区,
2303,B00156ZK09,[],虹桥锦绣绿地,风景名胜;公园广场;公园,吴中路与金雨路交叉口南100米,13511689.17,3655422.458,110101,310000,上海市,21,上海市,310112,闵行区,
2304,B00154DQQ7,[],复兴岛公园,风景名胜;公园广场;公园,共青路386号,13532259.12,3670003.797,110101,310000,上海市,21,上海市,310110,杨浦区,
