id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
BV10030988,[],莲园路博华路(公交站),交通设施服务;公交车站;公交车站相关,161路;715路;792路;976路;992路;北蔡1路;徐川专线,121.547648,31.184835,150700,310000,上海市,21,上海市,310115,浦东新区,
BV11334797,[],成山路莲安西路(公交站),交通设施服务;公交车站;公交车站相关,992路;南川线,121.55439,31.180235,150700,310000,上海市,21,上海市,310115,浦东新区,
BV11482010,[],沪南路北中路(莲溪)(公交站),交通设施服务;公交车站;公交车站相关,浦卫线,121.554392,31.183845,150700,310000,上海市,21,上海市,310115,浦东新区,
BV10033128,[],莲安西路沪南路(公交站),交通设施服务;公交车站;公交车站相关,1083路;614路,121.553537,31.179214,150700,310000,上海市,21,上海市,310115,浦东新区,
BV10032430,[],北中路沪南路(公交站),交通设施服务;公交车站;公交车站相关,161路;794路;976路;北蔡1路;北蔡2路,121.555924,31.183329,150700,310000,上海市,21,上海市,310115,浦东新区,
BV10032427,[],成山路博华路(公交站),交通设施服务;公交车站;公交车站相关,1083路;161路;969路;南川线,121.546593,31.179831,150700,310000,上海市,21,上海市,310115,浦东新区,
BV10033615,[],博华路高科西路(公交站),交通设施服务;公交车站;公交车站相关,969路,121.546081,31.18691,150700,310000,上海市,21,上海市,310115,浦东新区,
BV11004081,[],三灶路孙环路(公交站),交通设施服务;公交车站;公交车站相关,615路,121.640942,31.179106,150700,310000,上海市,21,上海市,310115,浦东新区,
BV11004088,[],三灶路孙塘路(公交站),交通设施服务;公交车站;公交车站相关,615路,121.644501,31.180469,150700,310000,上海市,21,上海市,310115,浦东新区,
BV10977954,[],孙建路孙耀路(公交站),交通设施服务;公交车站;公交车站相关,浦东76路,121.636558,31.181841,150700,310000,上海市,21,上海市,310115,浦东新区,
BV10411715,[],孙环路高木桥路(公交站),交通设施服务;公交车站;公交车站相关,,121.637428,31.184826,150700,310000,上海市,21,上海市,310115,浦东新区,
