id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
B0FFJ2FOKM,[],益福养老院,体育休闲服务;度假疗养场所;疗养院,俞泾港路与西藏北路交叉口西南50米,121.464424,31.26525,080402,310000,上海市,21,上海市,310106,静安区,
B0GKUZG79S,[],卫生室,医疗保健服务;诊所;诊所,[],121.581148,31.297959,090300,310000,上海市,21,上海市,310115,浦东新区,
B00156GHL2,[],赵家村卫生室(联友路),医疗保健服务;诊所;诊所,联友路2715号,121.260073,31.248342,090300,310000,上海市,21,上海市,310112,闵行区,
B00157GSTE,[],奉城镇蔡家桥村卫生室,医疗保健服务;诊所;诊所,蔡家桥村蔡家253,121.641496,30.974534,090300,310000,上海市,21,上海市,310120,奉贤区,
B00156OCVZ,[],金泽镇莲湖村谢庄中心卫生室,医疗保健服务;诊所;诊所,金泽镇莲湖村谢庄161号,121.00669,31.061931,090300,310000,上海市,21,上海市,310118,青浦区,
B001570VZL,[],东石村中心卫生室,医疗保健服务;诊所;诊所,东石路58号附近,121.346504,30.940367,090300,310000,上海市,21,上海市,310117,松江区,
B0FFGXSV9T,[],上海互利佳养护院,体育休闲服务;度假疗养场所;疗养院,民秋路632号,121.6654,31.286296,080402,310000,上海市,21,上海市,310115,浦东新区,
B001570W01,[],青浦区重固镇回龙村卫生室,医疗保健服务;诊所;诊所,重固镇回龙村179号,121.17012,31.210076,090300,310000,上海市,21,上海市,310118,青浦区,
B001556W68,[],奉城镇社区卫生服务中心,医疗保健服务;综合医院;卫生院,洪庙路95号,121.687538,30.925558,090102,310000,上海市,21,上海市,310120,奉贤区,
B0H61HPYLP,[],上海中医药大学附属社区卫生服务中心,医疗保健服务;综合医院;卫生院,[],121.687503,30.92539,090102,310000,上海市,21,上海市,310120,奉贤区,
B0GRN7AANH,[],核酸检测采样机构,医疗保健服务;医疗保健服务场所;医疗保健服务场所,奉城镇洪庙路95号,121.687507,30.925387,090000,310000,上海市,21,上海市,310120,奉贤区,
B0GU9XX0B4,[],奉城镇社区卫生服务中心-预防接种门诊,医疗保健服务;医疗保健服务场所;医疗保健服务场所,洪庙路95号,121.687532,30.925466,090000,310000,上海市,21,上海市,310120,奉贤区,
B0G1C7RU4F,[],安永康专业修脚房,医疗保健服务;医疗保健服务场所;医疗保健服务场所,永泰路825号,121.520552,31.141523,090000,310000,上海市,21,上海市,310115,浦东新区,
B0GDHR2N1N,[],安盛社区卫生服务站,医疗保健服务;诊所;诊所,[],121.521451,31.142712,090300,310000,上海市,21,上海市,310115,浦东新区,
B0GK2ZHAW6,[],眼波视界护眼中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,[],121.520198,31.141329,090000,310000,上海市,21,上海市,310115,浦东新区,
B0GKBZEHP2,[],中医养生馆,医疗保健服务;医疗保健服务场所;医疗保健服务场所,[],121.520177,31.145338,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFK3ZIQR,[],上海颐家宁护理站,医疗保健服务;医疗保健服务场所;医疗保健服务场所,三林路1354号附近,121.518629,31.144892,090000,310000,上海市,21,上海市,310115,浦东新区,
B0FFJRRQLH,[],俊辰儿童健康调理,医疗保健服务;医疗保健服务场所;医疗保健服务场所,三林路1486号(好药师大药房旁),121.522257,31.145993,090000,310000,上海市,21,上海市,310115,浦东新区,
B0H6GUZ2Q3,[],泰康拜博口腔(信尔店),医疗保健服务;诊所;诊所,永泰路1058弄1-26号三林新达汇广场302室(麦当劳楼上直达),121.525398,31.142473,090300,310000,上海市,21,上海市,310115,浦东新区,
B00156ELHX,[],上海市嘉定双善养老院,体育休闲服务;度假疗养场所;疗养院,马陆镇双单路65号,121.277933,31.337708,080402,310000,上海市,21,上海市,310114,嘉定区,
B0FFJRSJPY,[],慧享福长者照护之家养老机构(上实海上荟店),体育休闲服务;度假疗养场所;疗养院,双单路86弄5号,121.279151,31.340123,080402,310000,上海市,21,上海市,310114,嘉定区,
B0FFGYNWAP,[],东风芷江养老院,体育休闲服务;度假疗养场所;疗养院,青云路755号,121.465386,31.260624,080402,310000,上海市,21,上海市,310106,静安区,
B0FFKUYS3T,[],上海市江桥医院,医疗保健服务;综合医院;综合医院,黄家花园路800号,121.321285,31.267245,090100,310000,上海市,21,上海市,310114,嘉定区,
