id,parent,name,type,address,location,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
B00156NU99,[],长征社区文化活动中心,科教文化服务;文化宫;文化宫,梅川路1255号北楼1002室,"121.382748,31.241488",140800,310000,上海市,021,上海市,310107,普陀区,
B00157HSES,B00154DRGG,上海市青少年活动中心,科教文化服务;文化宫;文化宫,梅川路1353号宏泉大厦,"121.377229,31.245596",140800,310000,上海市,021,上海市,310107,普陀区,
B0FFGCEUHG,[],欧阳社区文化活动中心(祥德路),商务住宅;住宅区;社区中心,祥德路341号,"121.490470,31.270766",120304,310000,上海市,021,上海市,310109,虹口区,
B00156EFJD,[],崇明区港西基督教堂,风景名胜;风景名胜;教堂,三双公路1973号附近,"121.421642,31.706299",110206,310000,上海市,021,上海市,310151,崇明区,
B0FFMH040B,[],协兴村村民公园,风景名胜;公园广场;公园,三双公路2005西南80米,"121.420928,31.707347",110101,310000,上海市,021,上海市,310151,崇明区,
B0HGNDLK7E,[],康桥生态公园-汤巷绿地,风景名胜;公园广场;城市广场,创业路58号,"121.611564,31.146664",110105,310000,上海市,021,上海市,310115,浦东新区,
B00157H254,[],顾家楼天主堂,风景名胜;风景名胜;教堂,横沔镇汤巷村156号,"121.612532,31.145152",110206,310000,上海市,021,上海市,310115,浦东新区,
B00155R1FJ,[],2010金桥嘉年华广场,风景名胜;公园广场;城市广场,东陆路1757号附近,"121.610706,31.263632",110105,310000,上海市,021,上海市,310115,浦东新区,
B0HDAXY0WO,[],2010嘉年华广场,风景名胜;公园广场;城市广场,东陆路1757号,"121.609313,31.264336",110105,310000,上海市,021,上海市,310115,浦东新区,
B0FFK5X38F,[],农康苑,风景名胜;公园广场;城市广场,金陶路,"121.317915,31.389855",110105,310000,上海市,021,上海市,310114,嘉定区,
B00156CLQI,[],马陆社区文化活动中心,科教文化服务;文化宫;文化宫,马陆镇马陆宝安公路3322号,"121.282761,31.331548",140800,310000,上海市,021,上海市,310114,嘉定区,
B00155FDFV,[],中山活动室,商务住宅;住宅区;社区中心,虹桥路996弄34号,"121.419604,31.194649",120304,310000,上海市,021,上海市,310105,长宁区,
B0FFGLGEFS,[],上海宝山罗店大居社区服务管理中心,商务住宅;住宅区;社区中心,沪太路6666弄101号,"121.350365,31.395250",120304,310000,上海市,021,上海市,310113,宝山区,
B00155QM7R,[],曹路镇新星星火村文化活动中心,科教文化服务;文化宫;文化宫,王家车西路与王家车路交叉口北100米,"121.701789,31.255755",140800,310000,上海市,021,上海市,310115,浦东新区,
B0FFFEDNKD,[],沈泾塘,风景名胜;公园广场;公园|地名地址信息;自然地名;湖泊,龙源路555号华东政法大学松江校区,"121.193120,31.054449",110101|190205,310000,上海市,021,上海市,310117,松江区,
B0015279B8,[],上南公园,风景名胜;公园广场;公园,德州路198号,"121.498562,31.167109",110101,310000,上海市,021,上海市,310115,浦东新区,
B0FFGLLT0Z,[],香花普光寺,风景名胜;风景名胜;寺庙道观,北青公路与普光路交叉口西北150米,"121.132583,31.187575",110205,310000,上海市,021,上海市,310118,青浦区,
B00156R178,B001571FLO,六灶湾村社区文化活动服务中心,商务住宅;住宅区;社区中心|科教文化服务;文化宫;文化宫,惠南镇六灶湾村友爱3004-22号,"121.766176,31.014678",120304|140800,310000,上海市,021,上海市,310115,浦东新区,
B00156ZIMA,[],祝桥镇文化中心,科教文化服务;文化宫;文化宫,祝桥镇航亭环路158号(近卫亭路),"121.766570,31.102140",140800,310000,上海市,021,上海市,310115,浦东新区,
B0FFFFUTVT,[],屹磊道场,风景名胜;风景名胜;寺庙道观,龙汇路附近,"121.553968,31.200386",110205,310000,上海市,021,上海市,310115,浦东新区,
B00156ZL5T,[],泥城社区文化活动中心,科教文化服务;文化宫;文化宫,鸿音路3156弄8号,"121.817416,30.904566",140800,310000,上海市,021,上海市,310115,浦东新区,
B00155MUIK,[],花木玉兰广场,风景名胜;公园广场;城市广场,花木镇,"121.547541,31.206874",110105,310000,上海市,021,上海市,310115,浦东新区,
B001521383,[],花木公园,风景名胜;公园广场;公园,杜鹃路332号,"121.553925,31.203844",110101,310000,上海市,021,上海市,310115,浦东新区,
B00155GLK1,[],天马山,风景名胜;公园广场;公园,刘家山村460,"121.15278,31.075834",110101,310000,上海市,021,上海市,310117,松江区,
B0FFL8OOVO,[],天马山园智寺奠基处(建设中),风景名胜;风景名胜;寺庙道观,佘山镇天马东街5号,"121.153197,31.072538",110205,310000,上海市,021,上海市,310117,松江区,
B00156NUB7,[],中环财富休闲广场,风景名胜;公园广场;城市广场,梅川路1778号、祁连山南路1988号,"121.372055,31.248856",110105,310000,上海市,021,上海市,310114,嘉定区,
B00156GKAQ,[],华亭镇社区文化活动中心,科教文化服务;文化宫;文化宫,华亭镇霜竹公路1358号,"121.242860,31.468824",140800,310000,上海市,021,上海市,310114,嘉定区,
B00156R4OS,[],萧泾古寺,风景名胜;风景名胜;寺庙道观,沪太路8872弄50号附近,"121.322626,31.465692",110205,310000,上海市,021,上海市,310113,宝山区,
B0FFHEJLAD,[],翔华·邻里汇,商务住宅;住宅区;社区中心,火车站路132号附近,"121.307445,31.285056",120304,310000,上海市,021,上海市,310114,嘉定区,
B0FFHFJRMZ,[],上海市崇明区青少年活动中心,科教文化服务;文化宫;文化宫,城桥镇湄洲路288弄8号,"121.41005,31.623224",140800,310000,上海市,021,上海市,310151,崇明区,
B00156EOP9,[],高东生态园,风景名胜;公园广场;公园,新园路998号,"121.639604,31.307018",110101,310000,上海市,021,上海市,310115,浦东新区,
B0FFL9CI92,[],耶稣堂,风景名胜;风景名胜;教堂,[],"121.742678,30.979388",110206,310000,上海市,021,上海市,310115,浦东新区,
B0FFKB4SZI,[],唐家塔口袋公园,风景名胜;公园广场;公园,源泉路150号,"121.530518,31.278564",110101,310000,上海市,021,上海市,310110,杨浦区,
