POINT_X,POINT_Y,ID_1
13533794.33,3670866.031,326
13530833.46,3664143.277,327
13526174.51,3653759.014,328
13516804.75,3655897.23,329
13518790.47,3660700.364,330
13508484.51,3660003.749,331
13560154.9,3620930.075,332
13524816.3,3659632.94,333
13548457.45,3646963.811,334
13524982.95,3660967.072,335
13510186.47,3663736.67,336
13568485.38,3633685.275,337
13539479.42,3656960.947,338
13547530.82,3657384.117,339
13522192.95,3672995.758,340
13527109.15,3660322.896,341
13526450.36,3651331.903,342
13528042.23,3666859.286,343
13527561.89,3657224.32,344
13513265.79,3663301.174,345
13549383.85,3656311.646,346
13529373.5,3658839.559,347
13551880.63,3641334.646,348
13531255.91,3663131.276,349
13526716.3,3682220.11,350
13548908.96,3657396.87,351
13552641.17,3638017.882,352
13517516.53,3658801.947,353
13539725.43,3656299.285,354
13538075.46,3667031.449,355
13528331.77,3659803.571,356
13515885.14,3667000.064,357
13513928.37,3658556.239,358
13521366.18,3661178.724,359
13522118.14,3663156.012,360
13528265.87,3666013.48,361
13525519.62,3653199.249,362
13537512.18,3669140.061,363
13527182.84,3669191.641,364
13521942.37,3669671.894,365
13514723.3,3659449.688,366
13516190.6,3660983.733,367
13518098.62,3665974.544,368
13544226.97,3668961.095,369
13541636.9,3663709.329,370
13571158.16,3618960.048,371
13548045.12,3635863.665,372
13520447.9,3665698.222,373
13521017.64,3647974.355,374
13548644.57,3663280.473,375
13550306.02,3660740.585,376
13525447.04,3652511.254,377
13530130.92,3659911.209,378
13559179.52,3619636.192,379
13549881.44,3641987.188,380
13549097.87,3664152.261,381
13509773.03,3667129.253,382
13520078.77,3655053.479,383
13548735.08,3659958.065,384
13532860.58,3662052.055,385
13543493.71,3671005.422,386
13553330.12,3627500.819,387
13560274.57,3627594.285,388
13533065.41,3656859.841,389
13526836.53,3667384.248,390
13544590.43,3670229.543,391
13553106.82,3655978.291,392
13529253.72,3662801.381,393
13553010.19,3651505.15,394
13522475.48,3670702.933,395
13544914.15,3661109.865,396
13517110.99,3659314.072,397
13553067.63,3639563.429,398
13516653.47,3652952.742,399
13527723.41,3668734.33,400
13531599.89,3658169.337,401
13517983.85,3668420.565,402
13562143.62,3621947.449,403
13533853.78,3663301.174,404
13514153.57,3668660.089,405
13529853.29,3667156.992,406
13516824.12,3663486.437,407
13520011.42,3656345.346,408
13522998.23,3663648.788,409
13533919.01,3664718.644,410
13520742.9,3673332.441,411
13519166.17,3672179.234,412
13522083.41,3670929.083,413
13511570.17,3663472.246,414
13536945.67,3643582.104,415
13517577.2,3656277.946,416
13535186.49,3675362.64,417
13536766.23,3667134.201,418
13517358.34,3667297.122,419
13515361.16,3659448.386,420
13531686.27,3657725.448,421
13514771.83,3666566.665,422
13513199.56,3665225.546,423
13521247.18,3672322.939,424
13525033.49,3668230.279,425
13525872.95,3667645.24,426
13516764.01,3654786.899,427
13514103.92,3660131.303,428
13518536.99,3651276.365,429
13527177.5,3663550.101,430
13530343.65,3664178.692,431
13520509.13,3661367.079,432
13523098.09,3661834.009,433
13524217.4,3670573.446,434
13515210.1,3658390.831,435
13536165.21,3666316.114,436
13531499.03,3669574.722,437
13520689.69,3659266.568,438
13520581.93,3666966.334,439
13522921.53,3659364.179,440
